oracle_variant,group_key,threshold,clean_result,official_claim_allowed,benchmark_relative_claim_allowed,n_candidate_thresholds,information_bits,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept
test_oracle_threshold_by_regime,text_balanced_unseen_reader|dfm_residual_plus_uncertainty_prefix|beta_binomial_posterior,0.48,False,False,False,302,8.238404739325079,0.7663435828877005,0.6370642044751099,0.7289661319073084,0.7091256802100175,0.19120634152631588,0.7333333333333333,0.7245989304812834,0.27540106951871657,0.26666666666666666,0.12773217719639288,0.14865424257938487,0.3769301444424579
test_oracle_threshold_by_regime,text_balanced_unseen_reader|dfm_residual_plus_uncertainty_prefix|entropy_weighted,0.45,False,False,False,302,8.238404739325079,0.7629233511586453,0.6211744416514084,0.735190136660725,0.714353420326916,0.22055437241785178,0.7444444444444445,0.7259358288770054,0.27406417112299464,0.25555555555555554,0.16715294888500393,0.059662290041179025,0.369566516781201
test_oracle_threshold_by_regime,text_balanced_unseen_reader|dfm_residual_plus_uncertainty_prefix|learned_meta_aggregator,0.302392,False,False,False,302,8.238404739325079,0.7454619726678551,0.5917331789884637,0.7430035650623885,0.7264709473996783,0.17832618880543452,0.7333333333333333,0.7526737967914439,0.24732620320855614,0.26666666666666666,0.08245119142933001,0.14689306038955824,0.48024941112699665
test_oracle_threshold_by_regime,text_balanced_unseen_reader|dfm_residual_plus_uncertainty_prefix|logit_mean,0.5,False,False,False,302,8.238404739325079,0.762722816399287,0.621565511156257,0.7315359477124184,0.7134950031448739,0.21731453147249274,0.7277777777777777,0.7352941176470589,0.2647058823529412,0.2722222222222222,0.16371346728781988,0.05188897778024226,0.363176366603484
test_oracle_threshold_by_regime,text_balanced_unseen_reader|dfm_residual_plus_uncertainty_prefix|mean_probability,0.48,False,False,False,302,8.238404739325079,0.7557672311348782,0.6120554433998906,0.7296345811051693,0.7099484007538551,0.2072940366337901,0.7333333333333333,0.7259358288770054,0.27406417112299464,0.26666666666666666,0.14000126636822838,0.06155213179867407,0.36719743395905335
test_oracle_threshold_by_regime,text_balanced_unseen_reader|dfm_residual_plus_uncertainty_prefix|reliability_weighted_probability,0.5,False,False,False,302,8.238404739325079,0.7582219251336898,0.6157464124357724,0.7308155080213903,0.7132053824709417,0.20611146073595912,0.725,0.7366310160427807,0.26336898395721925,0.275,0.1382944030363167,0.06201149041293881,0.36758145683474897
test_oracle_threshold_by_regime,text_balanced_unseen_reader|dfm_residual_plus_uncertainty_prefix|uncertainty_weighted_logit,0.07,False,False,False,289,8.174925682500678,0.7706587938205586,0.6023018458174252,0.7468879976232918,0.6981397867681993,0.23631117164861576,0.8694444444444445,0.6243315508021391,0.37566844919786097,0.13055555555555556,0.2122755853939991,0.03517635128821169,0.3548852066881805
test_oracle_threshold_by_regime,unseen_reader|all_allowed_online|beta_binomial_posterior,0.479045,False,False,False,302,8.238404739325079,0.834213458110517,0.7361078868321331,0.7541666666666667,0.7347892934516738,0.1633638345539023,0.7583333333333333,0.75,0.25,0.24166666666666667,0.10953584316473346,0.18182320104732833,0.3936727612190523
test_oracle_threshold_by_regime,unseen_reader|all_allowed_online|entropy_weighted,0.832089,False,False,False,302,8.238404739325079,0.838974301841949,0.7148171078666913,0.756097742127154,0.7608334248505114,0.19148945635196543,0.6472222222222223,0.8649732620320856,0.13502673796791445,0.3527777777777778,0.16198051873640407,0.06528252766117013,0.37092898583163364
test_oracle_threshold_by_regime,unseen_reader|all_allowed_online|learned_meta_aggregator,0.423719,False,False,False,302,8.238404739325079,0.7973410576351753,0.616305409070432,0.7666443850267379,0.7687481924970729,0.16040194712870773,0.675,0.8582887700534759,0.14171122994652408,0.325,0.06786744240612162,0.16419805326222042,0.5128515723315032
test_oracle_threshold_by_regime,unseen_reader|all_allowed_online|logit_mean,0.634475,False,False,False,301,8.233619676759702,0.8358697266785501,0.6958400056335587,0.7530228758169935,0.7467079361508344,0.18583398161933837,0.6972222222222222,0.8088235294117647,0.19117647058823528,0.30277777777777776,0.14757468565676718,0.054582868844872276,0.36822506397070226
test_oracle_threshold_by_regime,unseen_reader|all_allowed_online|mean_probability,0.382737,False,False,False,301,8.233619676759702,0.8276552287581699,0.6906813471531907,0.756439393939394,0.7258286915683705,0.17097091841341996,0.8083333333333333,0.7045454545454546,0.29545454545454547,0.19166666666666668,0.11314369987807407,0.0680548928932516,0.37069330886832147
test_oracle_threshold_by_regime,unseen_reader|all_allowed_online|reliability_weighted_probability,0.385217,False,False,False,302,8.238404739325079,0.8298536838978016,0.6945065691583658,0.756439393939394,0.7258286915683705,0.1698132332910001,0.8083333333333333,0.7045454545454546,0.29545454545454547,0.19166666666666668,0.11345339572751234,0.06814746185644839,0.3707710018593878
test_oracle_threshold_by_regime,unseen_reader|all_allowed_online|uncertainty_weighted_logit,0.327693,False,False,False,285,8.154818109052105,0.8260249554367202,0.6392143067889872,0.7493909685086155,0.7217309315950302,0.22421235974811635,0.7888888888888889,0.7098930481283422,0.29010695187165775,0.2111111111111111,0.20913312917084503,0.03613695762732535,0.35929268773833184
test_oracle_threshold_by_regime,unseen_reader|dfm_residual_plus_uncertainty_prefix|beta_binomial_posterior,0.48,False,False,False,302,8.238404739325079,0.7663435828877005,0.6370642044751099,0.7289661319073084,0.7091256802100175,0.19120634152631588,0.7333333333333333,0.7245989304812834,0.27540106951871657,0.26666666666666666,0.12773217719639288,0.14865424257938487,0.3769301444424579
test_oracle_threshold_by_regime,unseen_reader|dfm_residual_plus_uncertainty_prefix|entropy_weighted,0.45,False,False,False,302,8.238404739325079,0.7629233511586453,0.6211744416514084,0.735190136660725,0.714353420326916,0.22055437241785178,0.7444444444444445,0.7259358288770054,0.27406417112299464,0.25555555555555554,0.16715294888500393,0.059662290041179025,0.369566516781201
test_oracle_threshold_by_regime,unseen_reader|dfm_residual_plus_uncertainty_prefix|learned_meta_aggregator,0.302392,False,False,False,302,8.238404739325079,0.7454619726678551,0.5917331789884637,0.7430035650623885,0.7264709473996783,0.17832618880543452,0.7333333333333333,0.7526737967914439,0.24732620320855614,0.26666666666666666,0.08245119142933001,0.14689306038955824,0.48024941112699665
test_oracle_threshold_by_regime,unseen_reader|dfm_residual_plus_uncertainty_prefix|logit_mean,0.5,False,False,False,302,8.238404739325079,0.762722816399287,0.621565511156257,0.7315359477124184,0.7134950031448739,0.21731453147249274,0.7277777777777777,0.7352941176470589,0.2647058823529412,0.2722222222222222,0.16371346728781988,0.05188897778024226,0.363176366603484
test_oracle_threshold_by_regime,unseen_reader|dfm_residual_plus_uncertainty_prefix|mean_probability,0.48,False,False,False,302,8.238404739325079,0.7557672311348782,0.6120554433998906,0.7296345811051693,0.7099484007538551,0.2072940366337901,0.7333333333333333,0.7259358288770054,0.27406417112299464,0.26666666666666666,0.14000126636822838,0.06155213179867407,0.36719743395905335
test_oracle_threshold_by_regime,unseen_reader|dfm_residual_plus_uncertainty_prefix|reliability_weighted_probability,0.5,False,False,False,302,8.238404739325079,0.7582219251336898,0.6157464124357724,0.7308155080213903,0.7132053824709417,0.20611146073595912,0.725,0.7366310160427807,0.26336898395721925,0.275,0.1382944030363167,0.06201149041293881,0.36758145683474897
