evidence_id,source_phase,model_name,candidate_id,split_regime,prefix_type,prefix_value,evidence_budget,feature_family,calibrator,threshold_policy,threshold_source,accumulator,evaluation_level,AUROC,PR_AUC,balanced_accuracy,macro_F1,Brier,n_readers,n_prefix_rows,stable_enough_rate,result_origin,result_scope,preferred_for_future_tables,notes
online_v2_prefix_00286,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,speech_prefix,1,speech_prefix:1,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8670360110803323,0.7948964651186237,0.763157894736842,0.7524223187437353,0.1479553902523423,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00287,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,speech_prefix,2,speech_prefix:2,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8618618618618619,0.7829427103581694,0.7672672672672673,0.7472605160834218,0.1473983294619819,55.0,55.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00288,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,speech_prefix,3,speech_prefix:3,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.796969696969697,0.5636181139122315,0.7136363636363636,0.6692307692307693,0.1690012669051356,43.0,43.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00289,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,speech_prefix,all,speech_prefix:all,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.9002770083102493,0.8561369366972083,0.8289473684210527,0.8115079365079365,0.1271111392689264,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00290,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,trial_or_text_prefix,1,trial_or_text_prefix:1,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8642659279778393,0.7938894954203886,0.75,0.7361111111111112,0.1501526035311458,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00291,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,trial_or_text_prefix,2,trial_or_text_prefix:2,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8543543543543544,0.7708062546078298,0.7394894894894894,0.7250000000000001,0.1479334999632817,55.0,55.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00292,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,trial_or_text_prefix,3,trial_or_text_prefix:3,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.796969696969697,0.553611111111111,0.7136363636363636,0.6692307692307693,0.1721719695991316,43.0,43.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00293,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,trial_or_text_prefix,all,trial_or_text_prefix:all,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8947368421052632,0.8409256022814375,0.8289473684210527,0.8115079365079365,0.1303272337106572,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00294,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,word_count_prefix,100,word_count_prefix:100,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.7423822714681441,0.5937276564135665,0.7236842105263158,0.71433344470431,0.1975887978845039,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00295,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,word_count_prefix,1000,word_count_prefix:1000,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8642659279778393,0.7891127375563369,0.763157894736842,0.740909090909091,0.1547044888648208,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00296,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,word_count_prefix,250,word_count_prefix:250,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8060941828254847,0.7111119266421273,0.7105263157894737,0.6984126984126984,0.1828890529488759,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00297,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,word_count_prefix,50,word_count_prefix:50,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.7188365650969529,0.508264181995358,0.6973684210526316,0.6998946998947,0.2126903482833066,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00298,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,word_count_prefix,500,word_count_prefix:500,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8490304709141274,0.7710919374583913,0.7368421052631579,0.7199475925319359,0.1671297471772065,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00299,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,word_count_prefix,all,word_count_prefix:all,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8808864265927977,0.81892359589728,0.75,0.7361111111111112,0.1384572821455654,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00300,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,chronological_prefix,100,chronological_prefix:100,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.7811634349030471,0.6413111144734902,0.6842105263157895,0.6668831168831169,0.237719575477846,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00301,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,chronological_prefix,1000,chronological_prefix:1000,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.8836565096952909,0.8183486949353822,0.7763157894736843,0.7572879135276778,0.1714183977482809,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00302,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,chronological_prefix,250,chronological_prefix:250,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.8310249307479224,0.7690363315018673,0.7368421052631579,0.7199475925319359,0.218746261757484,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00303,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,chronological_prefix,50,chronological_prefix:50,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.7188365650969529,0.508264181995358,0.6973684210526316,0.6998946998947,0.2416748789009918,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00304,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,chronological_prefix,500,chronological_prefix:500,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.8670360110803323,0.8114259300211313,0.763157894736842,0.740909090909091,0.1966240616803255,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00305,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,chronological_prefix,all,chronological_prefix:all,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.9030470914127424,0.8638652446055717,0.75,0.7361111111111112,0.1502387362070915,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00306,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,speech_prefix,1,speech_prefix:1,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.8698060941828255,0.8220955842002351,0.7894736842105263,0.7738095238095238,0.1722680484312165,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00307,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,speech_prefix,2,speech_prefix:2,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.8768768768768769,0.8225392303170083,0.725975975975976,0.7083775185577943,0.1715477158893822,55.0,55.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00308,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,speech_prefix,3,speech_prefix:3,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.8090909090909091,0.6174257759784075,0.7136363636363636,0.6692307692307693,0.2010649836732753,43.0,43.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00309,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,speech_prefix,all,speech_prefix:all,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.907202216066482,0.8688271013755777,0.8157894736842105,0.7946282345234196,0.1397698038722986,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00310,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,trial_or_text_prefix,1,trial_or_text_prefix:1,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.8698060941828254,0.8182723038702999,0.7894736842105263,0.7738095238095238,0.173655136143792,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00311,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,trial_or_text_prefix,2,trial_or_text_prefix:2,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.8768768768768769,0.8231129281402816,0.7394894894894894,0.7250000000000001,0.1710881798193944,55.0,55.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00312,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,trial_or_text_prefix,3,trial_or_text_prefix:3,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.796969696969697,0.5927620204844812,0.6984848484848485,0.6490897677338355,0.2039835805034714,43.0,43.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00313,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,trial_or_text_prefix,all,trial_or_text_prefix:all,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.9058171745152356,0.8666119042919598,0.7894736842105263,0.7738095238095238,0.1440110089724464,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00314,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,word_count_prefix,100,word_count_prefix:100,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.763157894736842,0.6127462433467391,0.6973684210526316,0.6826072715361939,0.2346082695651863,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00315,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,word_count_prefix,1000,word_count_prefix:1000,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.8808864265927978,0.8170004128927921,0.763157894736842,0.740909090909091,0.1800540929478413,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00316,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,word_count_prefix,250,word_count_prefix:250,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.8102493074792244,0.73685847600957,0.7236842105263157,0.7038961038961039,0.2236847742590859,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00317,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,word_count_prefix,50,word_count_prefix:50,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.7188365650969529,0.508264181995358,0.6973684210526316,0.6998946998947,0.2416748789009918,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00318,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,word_count_prefix,500,word_count_prefix:500,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.8531855955678671,0.7961499055532046,0.75,0.7246376811594203,0.2019547939145951,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00319,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,word_count_prefix,all,word_count_prefix:all,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.894736842105263,0.8562259315230452,0.75,0.7361111111111112,0.1580070200695588,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00320,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,text_balanced_unseen_reader,chronological_prefix,100,chronological_prefix:100,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.7049861495844875,0.5305767913036297,0.7105263157894737,0.7158119658119658,0.1887665007548396,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
